Tx gene_symbol
Tx3 4172
Tx3 60491
Tx3 6838
Tx3 4173
Tx3 10102
Tx3 9673
Tx3 6613
Tx3 84277
Tx3 51069
Tx3 8664
Tx3 51126
Tx3 5201
Tx3 6834
Tx3 65265
Tx3 6821
Tx3 55709
Tx3 139728
Tx3 113230
Tx3 1798
Tx3 7542
Tx3 23552
Tx3 8892
Tx3 9878
Tx3 84246
Tx3 400569
Tx3 6945
Tx3 2519
Tx3 121642
Tx3 0000
Tx3 10295
Tx3 353
Tx3 53
Tx3 0000
Tx3 7108
Tx3 148523
Tx3 84964
Tx3 80178
Tx3 369
Tx3 4826
Tx3 1797
Tx3 5875
Tx3 286257
Tx3 644353
Tx3 11000
Tx3 5330
Tx3 432
Tx3 9466
Tx3 0000
Tx3 548596
Tx3 2483
Tx3 3682
Tx3 23420
Tx3 9098
Tx3 57333
Tx3 30850
Tx3 79990
Tx3 79948
Tx3 90353
Tx3 161882
Tx3 6678
Tx3 5580
Tx3 5582
Tx3 79047
Tx3 55224
Tx3 56917
Tx3 53833
Tx3 9836
Tx3 162394
Tx3 200895
Tx3 84221
Tx3 92211
Tx3 140612
Tx3 51605
Tx3 9308
Tx3 88
Tx3 10135
Tx3 5160
Tx3 117246
Tx3 54509
Tx3 30836
Tx3 6498
Tx3 388753
Tx3 6235
Tx3 56131
Tx3 8447
Tx3 4097
Tx3 80228
Tx3 29781
Tx3 327
Tx3 55929
Tx3 29916
Tx3 3396
Tx3 10419
Tx3 56949
Tx3 60672
Tx3 11266
Tx3 60343
Tx3 23385
Tx3 27301
Tx3 92579
Tx3 84134
Tx3 6257
Tx3 10280
Tx3 284018
Tx3 3151
Tx3 65083
Tx3 90850
Tx3 207
Tx3 55715
Tx3 5089
Tx3 8313
Tx3 57343
Tx3 84514
Tx3 23203
Tx3 10494
Tx3 55753
Tx3 25930
Tx3 4218
Tx3 2339
Tx3 8517
Tx3 5264
Tx3 10307
Tx3 55324
Tx3 5261
Tx3 27175
Tx3 222950
Tx3 219539
Tx3 10445
Tx3 26073
Tx3 51324
Tx3 22820
Tx3 0000
Tx3 55135
Tx3 29882
Tx3 55695
Tx3 10607
Tx3 84330
Tx3 10039
Tx3 26063
Tx3 1522
Tx3 4142
Tx3 116
Tx3 2119
Tx3 65989
Tx3 2242
Tx3 25855
Tx3 10469
Tx3 29988
Tx3 10220
Tx3 93058
Tx3 54922
Tx3 2275
Tx3 199990
Tx3 84304
Tx3 389792
Tx3 65078
Tx3 4987
Tx3 8553
Tx3 283248
Tx3 654429
Tx3 3872
Tx3 1690
Tx3 6160
Tx3 10471
Tx3 6223
Tx3 6164
Tx3 6234
Tx3 79144
Tx3 6158
Tx3 4696
Tx3 1346
Tx3 29997
Tx3 381
Tx3 146779
Tx3 51121
Tx3 25915
Tx3 4694
Tx3 2286
Tx3 131474
Tx3 79142
Tx3 10105
Tx3 55352
Tx3 84262
Tx3 79176
Tx3 51329
Tx3 118881
Tx3 5881
Tx3 4580
Tx3 441869
Tx3 84933
Tx3 79145
Tx3 84522
Tx3 122961
Tx3 64110
Tx3 84967
Tx3 84313
Tx3 7283
Tx3 6992
Tx3 4711
Tx3 51022
Tx3 10776
Tx3 25847
Tx3 529
Tx3 498
Tx3 221424
Tx3 26519
Tx3 54458
