Tx gene_symbol
Tx3 MCM3
Tx3 NIF3L1
Tx3 SURF6
Tx3 MCM4
Tx3 TSFM
Tx3 SLC25A44
Tx3 SUMO2
Tx3 DNAJC30
Tx3 MRPL2
Tx3 EIF3D
Tx3 NAA20
Tx3 PFDN1
Tx3 SURF1
Tx3 C8orf33
Tx3 SUOX
Tx3 KBTBD4
Tx3 PNCK
Tx3 MISP3
Tx3 DPAGT1
Tx3 ZFPL1
Tx3 CDK20
Tx3 EIF2B2
Tx3 TOX4
Tx3 MED10
Tx3 MED11
Tx3 MLX
Tx3 FUCA2
Tx3 ALKBH2
Tx3 C2orf40
Tx3 BCKDK
Tx3 APRT
Tx3 ACP2
Tx3 TSTA3
Tx3 TM7SF2
Tx3 CIART
Tx3 ALKBH6
Tx3 TEDC2
Tx3 ARAF
Tx3 NNAT
Tx3 DXO
Tx3 RABGGTA
Tx3 PAXX
Tx3 ZCCHC18
Tx3 SLC27A3
Tx3 PLCB2
Tx3 ASGR1
Tx3 IL27RA
Tx3 C8orf59
Tx3 CKMT1A
Tx3 FRG1
Tx3 ITGAE
Tx3 NOMO1
Tx3 USP6
Tx3 RCN3
Tx3 CDR2L
Tx3 PLEKHH3
Tx3 PLPPR3
Tx3 CTU1
Tx3 ZFPM1
Tx3 SPARC
Tx3 PRKCD
Tx3 PRKCG
Tx3 KCTD15
Tx3 ETNK2
Tx3 MEIS3
Tx3 IL20RB
Tx3 LCMT2
Tx3 SLFN5
Tx3 DHFR2
Tx3 SPATC1L
Tx3 CDHR1
Tx3 ZFP28
Tx3 TRMT6
Tx3 CD83
Tx3 ACTN2
Tx3 NAMPT
Tx3 PDHA1
Tx3 FTSJ3
Tx3 RHOF
Tx3 DNTTIP2
Tx3 SKIL
Tx3 COA6
Tx3 RPS29
Tx3 PCDHB4
Tx3 DOC2B
Tx3 MAFG
Tx3 ORAI2
Tx3 NCAPH2
Tx3 APEH
Tx3 DMAP1
Tx3 SNX11
Tx3 MRPL58
Tx3 PRMT5
Tx3 XAB2
Tx3 MIIP
Tx3 DUSP12
Tx3 FAM3A
Tx3 NCSTN
Tx3 APEX2
Tx3 G6PC3
Tx3 TOMM40L
Tx3 RXRB
Tx3 SIGMAR1
Tx3 C17orf58
Tx3 HMGN2
Tx3 NOL6
Tx3 ZNF598
Tx3 AKT1
Tx3 DOK4
Tx3 PBX2
Tx3 AXIN2
Tx3 ZNF304
Tx3 GHDC
Tx3 PMPCA
Tx3 STK25
Tx3 OGDHL
Tx3 PTPN23
Tx3 RAB8A
Tx3 FNTA
Tx3 IKBKG
Tx3 PHYH
Tx3 APBB3
Tx3 ABCF3
Tx3 PHKG2
Tx3 TUBG2
Tx3 NYAP1
Tx3 YPEL4
Tx3 MCRS1
Tx3 POLDIP2
Tx3 SPG21
Tx3 COPG1
Tx3 CXorf56
Tx3 WRAP53
Tx3 ANAPC2
Tx3 NSUN5
Tx3 TBL3
Tx3 ZNF414
Tx3 PARP3
Tx3 DECR2
Tx3 CTSZ
Tx3 MAS1
Tx3 ADCYAP1
Tx3 ETV5
Tx3 DLK2
Tx3 FES
Tx3 BRMS1
Tx3 TIMM44
Tx3 SLC2A8
Tx3 GDF11
Tx3 COQ10A
Tx3 RASIP1
Tx3 FHL3
Tx3 FAAP20
Tx3 NUDT22
Tx3 IER5L
Tx3 RTN4R
Tx3 OPRL1
Tx3 BHLHE40
Tx3 RCOR2
Tx3 LRTM2
Tx3 KRT17
Tx3 COCH
Tx3 RPL31
Tx3 PFDN6
Tx3 RPS19
Tx3 RPL34
Tx3 RPS28
Tx3 PPDPF
Tx3 RPL28
