GENE       CHR      START       STOP  NSNPS  NPARAM         N        ZSTAT            P
5590         1    1981909    2116834      1       1     19629       5.4188        3e-08
63976        1    2985565    3355185      4       1     35102       5.1202   1.5262e-07
23261        1    6845384    7829766      1       1     19629       5.6302        9e-09
9563         1    9294822    9331396      1       1     15100       4.4172        5e-06
23095        1   10270606   10441664      1       1       777       4.6114        2e-06
3339         1   22148737   22263750      1       1     21282      0.84162          0.2
2046         1   22890004   22930087      1       1     19629       5.9978        1e-09
6920         1   23707555   23751269      1       1       777       4.3145        8e-06
64766        1   33282368   33324480      1       1       777       4.5264        3e-06
23499        1   39549839   39952810      1       1    476265       5.8842        2e-09
114625       1   43282776   43310660      3       1    403928       4.6406    1.737e-06
6513         1   43391046   43424847      2       1    262468       4.0866    2.189e-05
6487         1   44173204   44396837      1       1     15100       4.4172        5e-06
149483       1   46085716   46090424      1       1     26502       5.4909        2e-08
260293       1   47427036   47516423      2       1     20463       4.8513   6.1335e-07
388630       1   48226200   48463009      1       1     15100       4.2884        9e-06
84871        1   48998527   50489626      4       2     24914       4.5059   3.3048e-06
11124        1   50906935   51425936      8       2    219228        4.539   2.8257e-06
284546       1   51442129   51613754      2       1     19629       6.1094        5e-10
79699        1   53192126   53293014      1       1     19629       5.4188        3e-08
1733         1   54359860   54376763      1       1     55030      -1.2816          0.9
1600         1   57460453   58716211      1       1       777       4.4172        5e-06
84938        1   63249777   63330941      1       1       777       4.6114        2e-06
5142         1   66258193   66840262      1       1       777       4.3145        8e-06
55631        1   70610485   70671361      1       1       777       4.9912        3e-07
204962       1   75667816   76081698      1       1     19629       5.4188        3e-08
256435       1   76540389   77100311      1       1       777       4.5264        3e-06
374986       1   78245309   78345225      1       1       777       4.4172        5e-06
117178       1   85109390   85156440      1       1     15100       4.3439        7e-06
7049         1   92145900   92371559      1       1       605       4.5264        3e-06
676          1   92414928   92479985      1       1       605       4.4652        4e-06
10451        1  108113782  108507545      1       1       777       4.4652        4e-06
100288142    1  148250249  148347262      1       1     15100       4.6114        2e-06
57459        1  153777201  153895451      3       1      9973       4.0551   2.5057e-05
148327       1  153940315  153946840      1       1      1709       4.4172        5e-06
91181        1  153965166  154127592      2       1     13351       4.1978   1.3478e-05
7059         1  155165379  155177772      1       1     19629        5.612        1e-08
10067        1  155225770  155232176      1       1     19629        5.612        1e-08
54856        1  155719450  155829185      1       1   2427492       5.4188        3e-08
9826         1  156904632  157015512      1       1   1805565     -0.84162          0.8
9722         1  162039581  162339813      2       1      8581       5.9978        1e-09
223          1  165631449  165667900      1       1       939       4.3439        7e-06
10228        1  180942164  180992074      3       1     97515    -0.090529      0.53607
3140         1  181002561  181031074      1       1     19629       0.5244          0.3
3918         1  183147952  183214262      2       1     39753       4.0453   2.6131e-05
23127        1  183898988  184006904      1       1       190       4.9912        3e-07
81563        1  184356150  184598155      1       1       777       4.4652        4e-06
91156        1  201159952  201198080      1       1       777       4.4172        5e-06
9911         1  205197038  205242471      1       1   2918641       5.4188        3e-08
64710        1  205681947  205719372      1       1   1480777       5.8842        2e-09
3586         1  206940948  206945839      1       1       777       4.5264        3e-06
1379         1  207818458  207897036      1       1     26502       5.6302        9e-09
7399         1  215796236  216596738      1       1       777       4.4652        4e-06
2104         1  216676588  217311097      1       1       777       4.2884        9e-06
64746        1  226332380  226374423      1       1       777       4.2884        9e-06
6262         1  237205510  237997288      1       1       777       4.4652        4e-06
10806        1  243419307  243663393      2       1    106048       4.4921    3.526e-06
55083        1  245318287  245866428      2       1     55504       5.3236   5.0861e-08
23040        2    1792885    2335147      1       1       777       4.4172        5e-06
9014         2    9983571   10074545      1       1    484192       5.3671        4e-08
9741         2   20232411   20251789      1       1       777       4.3439        7e-06
22979        2   25264973   25382004      1       1     33265       5.4188        3e-08
1838         2   25600067   25896516      1       1     19629       5.8168        3e-09
25780        2   33661416   33789798      1       1     15100       4.7534        1e-06
